# Minitial =  1.25 msun, Z = 0.0016, Mfinal = 0.646 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
  ba137    137   1.0837745E-10  2.0412930E-10  9.5751844E-11  3.3796244E-10  1.5854604E-10  3.2871303E-01
  ba138    138   1.3782869E-09  1.7444781E-09  3.6619122E-10  2.8882090E-09  6.0633992E-10  6.7791247E-01
  la139    139   1.6331672E-10  2.1834162E-10  5.5024901E-11  3.6149278E-10  9.1110314E-11  5.9853208E-01
  ce140    140   4.8922166E-10  5.9020727E-10  1.0098564E-10  9.7716435E-10  1.6721216E-10  7.6669973E-01
  ce141    141   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  ce142    142   6.6786247E-12  3.3154920E-11  2.6476295E-11  5.4892254E-11  4.3839488E-11  9.7645588E-02
  pr141    141   4.5119498E-11  7.1055072E-11  2.5935573E-11  1.1764086E-10  4.2944162E-11  4.3765405E-01
  nd142    142   1.3446672E-10  1.5527228E-10  2.0805559E-11  2.5707333E-10  3.4449877E-11  8.7286937E-01
  nd143    143   1.9025618E-11  3.7511019E-11  1.8485401E-11  6.2104336E-11  3.0608151E-11  3.0728480E-01
  nd144    144   6.0011641E-11  9.1717370E-11  3.1705728E-11  1.5184996E-10  5.2498391E-11  4.6126869E-01
  nd145    145   1.0989392E-11  2.4380671E-11  1.3391279E-11  4.0365350E-11  2.2173300E-11  2.6017839E-01
  nd146    146   5.5785009E-11  7.6905926E-11  2.1120918E-11  1.2732770E-10  3.4972050E-11  5.6120187E-01
  nd147    147   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  nd148    148   4.4401427E-12  1.5380357E-11  1.0940214E-11  2.5464167E-11  1.8114820E-11  1.4789544E-01
  pm147    147   1.1584260E-38  1.1584260E-38  0.0000000E+00  1.9179239E-38  0.0000000E+00  0.0000000E+00
  pm148    148   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  sm147    147   6.7000121E-12  1.4373006E-11  7.6729942E-12  2.3796369E-11  1.2704954E-11  2.7253759E-01
  sm148    148   1.4567007E-11  1.8197060E-11  3.6300524E-12  3.0127584E-11  6.0106460E-12  7.0004320E-01
  sm149    149   2.4182410E-12  1.0387941E-11  7.9697004E-12  1.7198579E-11  1.3196243E-11  1.1504229E-01
  sm150    150   1.1747338E-11  1.3877343E-11  2.1300045E-12  2.2975734E-11  3.5268646E-12  8.1388062E-01
  sm151    151   7.0374785E-16  7.0374785E-16  0.0000000E+00  1.1651455E-15  0.0000000E+00  0.0000000E+00
  sm152    152   1.0588875E-11  2.5416145E-11  1.4827270E-11  4.2079711E-11  2.4551014E-11  2.3400334E-01
  eu151    151   1.7042331E-12  1.1987041E-11  1.0282808E-11  1.9846095E-11  1.7026287E-11  6.6555120E-02
  eu152    152   1.6922120E-24  1.6922120E-24  0.0000000E+00  2.8016756E-24  0.0000000E+00  0.0000000E+00
  eu153    153   1.9289847E-12  1.4132385E-11  1.2203401E-11  2.3397990E-11  2.0206409E-11  6.3689426E-02
  eu154    154   6.8697079E-25  6.8697079E-25  0.0000000E+00  1.1373689E-24  0.0000000E+00  0.0000000E+00
  eu155    155   2.5832878E-30  2.5832878E-30  0.0000000E+00  4.2769668E-30  0.0000000E+00  0.0000000E+00
  gd152    152   3.8401763E-16  9.8494983E-14  9.8110966E-14  1.6307118E-13  1.6245227E-13  1.6514355E-03
  gd153    153   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  gd154    154   1.2296424E-12  2.1242502E-12  8.9460785E-13  3.5169708E-12  1.4812928E-12  3.7552783E-01
  gd155    155   3.5089839E-12  1.5117362E-11  1.1608378E-11  2.5028746E-11  1.9221170E-11  1.1465927E-01
  gd156    156   8.1251238E-12  2.3546099E-11  1.5420975E-11  3.8983608E-11  2.5534073E-11  1.8376192E-01
  gd157    157   3.7927552E-12  1.6312354E-11  1.2519599E-11  2.7007211E-11  2.0729972E-11  1.1488102E-01
  gd158    158   1.5931281E-11  3.3542495E-11  1.7611215E-11  5.5533935E-11  2.9160674E-11  2.7976090E-01
  tb159    159   3.4522749E-12  1.9330182E-11  1.5877907E-11  3.2003615E-11  2.6290659E-11  8.5397556E-02
  dy160    160   5.8263949E-12  6.7558576E-12  9.2946267E-13  1.1185195E-11  1.5390056E-12  8.6140335E-01
