# Minitial =  6.50 msun, Z = 0.0016, Mfinal = 1.046 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
  ru102    102   1.5617446E-09  2.2052267E-09  6.4348205E-10  4.0433198E-10  1.1799059E-10  5.3489071E-01
  rh103    103   2.3287861E-10  7.0170875E-10  4.6883014E-10  1.2865947E-10  8.5965943E-11  1.7511533E-01
  pd104    104   8.1217871E-10  9.1219599E-10  1.0001729E-10  1.6725266E-10  1.8339436E-11  9.5998704E-01
  pd105    105   1.7410987E-10  6.1211691E-10  4.3800705E-10  1.1223266E-10  8.0314137E-11  1.4532727E-01
  pd106    106   8.8135871E-10  1.2957988E-09  4.1444009E-10  2.3758687E-10  7.5992844E-11  4.9504974E-01
  pd107    107   1.7232019E-10  1.7232019E-10  0.0000000E+00  3.1595195E-11  0.0000000E+00  0.0000000E+00
  pd108    108   1.0522758E-09  1.4238140E-09  3.7153813E-10  2.6105867E-10  6.8126227E-11  5.8342385E-01
  ag107    107  -1.8369833E-11  3.9221265E-10  4.1058248E-10  7.1912844E-11  7.5285500E-11 -1.9904867E-02
  ag108    108   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  ag109    109   2.4073246E-10  5.9100391E-10  3.5027145E-10  1.0836156E-10  6.4226707E-11  2.2715960E-01
  cd108    108   1.0088328E-11  1.0088328E-11  0.0000000E+00  1.8497118E-12  0.0000000E+00  0.0000000E+00
  cd109    109  -1.8664255E-23 -1.8664255E-23  0.0000000E+00 -3.4221224E-24  0.0000000E+00  0.0000000E+00
  cd110    110   8.8866209E-10  1.0027887E-09  1.1412667E-10  1.8386299E-10  2.0926573E-11  9.4379622E-01
  cd111    111   2.6985186E-10  5.6516936E-10  2.9531749E-10  1.0362475E-10  5.4150205E-11  2.8186339E-01
  cd112    112   1.0705413E-09  1.5211887E-09  4.5064738E-10  2.7891250E-10  8.2631908E-11  5.2832019E-01
  cd113    113   3.0073219E-10  5.7021049E-10  2.6947830E-10  1.0454904E-10  4.9412256E-11  3.2548535E-01
  cd114    114   1.4959440E-09  1.9203115E-09  4.2436749E-10  3.5209230E-10  7.7813152E-11  6.5560353E-01
  in115    115   2.7175059E-10  5.1368454E-10  2.4193395E-10  9.4184917E-11  4.4361650E-11  3.2697368E-01
  sn116    116   1.9958466E-09  2.3413447E-09  3.4549810E-10  4.2928947E-10  6.3351456E-11  8.3099365E-01
  sn117    117   5.6211491E-10  8.8093810E-10  3.1882316E-10  1.6152148E-10  5.8460264E-11  4.4136947E-01
  sn118    118   2.7186684E-09  3.4409497E-09  7.2228146E-10  6.3090388E-10  1.3243945E-10  6.7794585E-01
  sn119    119   7.5826601E-10  9.7901942E-10  2.2075343E-10  1.7950484E-10  4.0477934E-11  6.4685786E-01
  sn120    120   3.9530987E-09  4.8588342E-09  9.0573560E-10  8.9087537E-10  1.6607810E-10  7.2950459E-01
  sb121    121   2.7068595E-10  5.0401899E-10  2.3333305E-10  9.2412723E-11  4.2784571E-11  3.3444455E-01
  te122    122   4.8662552E-10  5.8120386E-10  9.4578338E-11  1.0656470E-10  1.7342135E-11  7.8851086E-01
  te123    123   1.7493876E-10  2.0863383E-10  3.3695078E-11  3.8253362E-11  6.1784198E-12  7.9179221E-01
  te124    124   8.9378793E-10  1.0730268E-09  1.7923887E-10  1.9674125E-10  3.2865721E-11  7.7715224E-01
  te125    125   2.7354730E-10  8.2629703E-10  5.5274973E-10  1.5150294E-10  1.0135367E-10  1.7458156E-01
