# Minitial =  2.50 msun, Z = 0.0016, Mfinal = 0.680 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
  te126    126   4.4057056E-09  4.8391628E-09  4.3345708E-10  2.6588809E-09  2.3817967E-10  1.0477942E+00
   i127    127   5.5713317E-10  1.0975110E-09  5.4037780E-10  6.0302802E-10  2.9693137E-10  3.0768141E-01
  xe128    128   1.4118673E-09  1.4432351E-09  3.1367808E-11  7.9298634E-10  1.7236249E-11  1.6628230E+00
  xe129    129   5.1495008E-10  1.3130077E-09  7.9805762E-10  7.2143280E-10  4.3852350E-10  2.1620303E-01
  xe130    130   2.8790939E-09  2.9294112E-09  5.0317309E-11  1.6095666E-09  2.7648783E-11  1.7650330E+00
  xe131    131   1.0799439E-09  1.7126816E-09  6.3273764E-10  9.4103381E-10  3.4768205E-10  4.3242297E-01
  xe132    132   5.9204539E-09  6.5642198E-09  6.4376582E-10  3.6067143E-09  3.5374192E-10  1.0084252E+00
  xe133    133   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  xe134    134   2.0666682E-09  2.3606144E-09  2.9394617E-10  1.2970409E-09  1.6152003E-10  9.0472728E-01
  cs133    133   7.9317219E-10  1.0123412E-09  2.1916900E-10  5.5623145E-10  1.2043085E-10  6.6451776E-01
  cs134    134   3.9484597E-28  3.9484597E-28  0.0000000E+00  2.1694835E-28  0.0000000E+00  0.0000000E+00
  cs135    135   2.1301680E-09  2.1301680E-09  0.0000000E+00  1.1704221E-09  0.0000000E+00  0.0000000E+00
  cs136    136   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  cs137    137   2.1481200E-12  2.1481200E-12  0.0000000E+00  1.1802858E-12  0.0000000E+00  0.0000000E+00
  ba134    134   8.0052809E-10  8.4692098E-10  4.6392907E-11  4.6534121E-10  2.5492370E-11  1.2613614E+00
  ba135    135   3.1528025E-10  5.2968369E-10  2.1440344E-10  2.9103500E-10  1.1781222E-10  3.9275488E-01
  ba136    136   5.3651981E-09  5.4974567E-09  1.3225875E-10  3.0205807E-09  7.2674665E-11  1.6187074E+00
  ba137    137   6.8664319E-09  7.1549660E-09  2.8853386E-10  3.9313002E-09  1.5854604E-10  1.3943808E+00
  ba138    138   7.4920131E-08  7.6023596E-08  1.1034624E-09  4.1771209E-08  6.0633992E-10  1.8381609E+00
  la139    139   9.0744292E-09  9.2402388E-09  1.6580931E-10  5.0770543E-09  9.1110314E-11  1.7460443E+00
  ce140    140   2.7790128E-08  2.8094433E-08  3.0430514E-10  1.5436502E-08  1.6721216E-10  1.9652810E+00
  ce141    141   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  ce142    142   2.4948470E-09  2.5746294E-09  7.9782361E-11  1.4146316E-09  4.3839488E-11  1.5087779E+00
  pr141    141   2.8749743E-09  2.9531273E-09  7.8152970E-11  1.6225975E-09  4.2944162E-11  1.5773066E+00
  nd142    142   6.4844570E-09  6.5471513E-09  6.2694440E-11  3.5973360E-09  3.4449877E-11  2.0187933E+00
  nd143    143   1.1445571E-09  1.2002601E-09  5.5702987E-11  6.5948358E-10  3.0608151E-11  1.3333669E+00
  nd144    144   3.5432439E-09  3.6387844E-09  9.5540471E-11  1.9993323E-09  5.2498391E-11  1.5807390E+00
  nd145    145   6.5355266E-10  6.9390527E-10  4.0352617E-11  3.8126666E-10  2.2173300E-11  1.2353985E+00
  nd146    146   3.2207961E-09  3.2844407E-09  6.3644728E-11  1.8046378E-09  3.4972050E-11  1.7126689E+00
  nd147    147   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
