# Minitial =  3.50 msun, Z = 0.0016, Mfinal = 0.844 msun, with c13 pocket
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
  pd105    105   1.7231863E-10  3.8561887E-10  2.1330024E-10  1.4518782E-10  8.0314137E-11  2.5713819E-01
  pd106    106   7.8453405E-10  9.8635766E-10  2.0182363E-10  3.7136957E-10  7.5992844E-11  6.8903363E-01
  pd107    107   1.5182991E-10  1.5182991E-10  0.0000000E+00  5.7164874E-11  0.0000000E+00  0.0000000E+00
  pd108    108   9.5719221E-10  1.1381235E-09  1.8093127E-10  4.2851034E-10  6.8126227E-11  7.9864693E-01
  ag107    107  -2.3928359E-12  1.9755222E-10  1.9994506E-10  7.4379600E-11  7.5285500E-11 -5.2575031E-03
  ag108    108   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  ag109    109   2.3219211E-10  4.0276696E-10  1.7057485E-10  1.5164418E-10  6.4226707E-11  3.7311012E-01
  cd108    108   3.3843449E-15  3.3843449E-15  0.0000000E+00  1.2742262E-15  0.0000000E+00  0.0000000E+00
  cd109    109   1.6893964E-28  1.6893964E-28  0.0000000E+00  6.3606785E-29  0.0000000E+00  0.0000000E+00
  cd110    110   8.0575868E-10  8.6133600E-10  5.5577296E-11  3.2429817E-10  2.0926573E-11  1.1902465E+00
  cd111    111   2.5994248E-10  4.0375592E-10  1.4381343E-10  1.5201652E-10  5.4150205E-11  4.4829071E-01
  cd112    112   9.9484876E-10  1.2143045E-09  2.1945581E-10  4.5719295E-10  8.2631908E-11  7.4295175E-01
  cd113    113   2.8785441E-10  4.1908466E-10  1.3123026E-10  1.5778789E-10  4.9412256E-11  5.0423902E-01
  cd114    114   1.4229971E-09  1.6296551E-09  2.0665805E-10  6.1357491E-10  7.7813152E-11  8.9681458E-01
  in115    115   2.6877617E-10  3.8659290E-10  1.1781674E-10  1.4555454E-10  4.4361650E-11  5.1601809E-01
