# Minitial =  5.00 msun, Z = 0.0016, Mfinal = 0.918 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    y90     90   6.1810144E-16  6.1810144E-16  0.0000000E+00  1.5142123E-16  0.0000000E+00  0.0000000E+00
    y91     91   3.1988408E-22  3.1988408E-22  0.0000000E+00  7.8364552E-23  0.0000000E+00  0.0000000E+00
   zr90     90   4.0593246E-08  4.3347711E-08  2.7544664E-09  1.0619234E-08  6.7482503E-10  1.1969020E+00
   zr91     91   1.1837781E-08  1.2337360E-08  4.9957888E-10  3.0223812E-09  1.2239335E-10  1.3925915E+00
   zr92     92   2.2677428E-08  2.3739128E-08  1.0616997E-09  5.8155631E-09  2.6010902E-10  1.3494364E+00
   zr93     93   6.6581682E-09  6.6581682E-09  0.0000000E+00  1.6311045E-09  0.0000000E+00  0.0000000E+00
   zr94     94   2.2753481E-08  2.3620354E-08  8.6687257E-10  5.7864660E-09  2.1237773E-10  1.4353044E+00
   zr95     95   6.6112855E-22  6.6112855E-22  0.0000000E+00  1.6196193E-22  0.0000000E+00  0.0000000E+00
   zr96     96   2.8344550E-08  2.8660132E-08  3.1558217E-10  7.0211010E-09  7.7315425E-11  1.9581391E+00
   nb93     93   3.9382456E-10  8.5222263E-10  4.5839807E-10  2.0877576E-10  1.1230433E-10  2.6928359E-01
   nb94     94   2.6615591E-16  2.6615591E-16  0.0000000E+00  6.5202333E-17  0.0000000E+00  0.0000000E+00
   nb95     95   7.9640292E-22  7.9640292E-22  0.0000000E+00  1.9510117E-22  0.0000000E+00  0.0000000E+00
   mo94     94  -7.0947415E-12  1.6548167E-10  1.7257641E-10  4.0539364E-11  4.2280013E-11 -1.8258197E-02
   mo95     95   3.0021068E-09  3.3021630E-09  3.0005620E-10  8.0895718E-10  7.3511669E-11  1.0415692E+00
   mo96     96   4.5287276E-09  4.7276534E-09  1.9892583E-10  1.1581709E-09  4.8735443E-11  1.3759277E+00
   mo97     97   2.1632323E-09  2.3217166E-09  1.5848445E-10  5.6876942E-10  3.8827584E-11  1.1657959E+00
   mo98     98   6.1168599E-09  6.4364687E-09  3.1960856E-10  1.5767930E-09  7.8301865E-11  1.3040025E+00
   tc99     99   5.1126930E-10  5.1126930E-10  0.0000000E+00  1.2524971E-10  0.0000000E+00  0.0000000E+00
   ru99     99   2.4193625E-10  2.6309827E-10  2.1162029E-11  6.4453276E-11  5.1845494E-12  1.0945339E+00
  ru100    100   2.6358318E-09  2.7414004E-09  1.0556862E-10  6.7158268E-10  2.5863572E-11  1.4144109E+00
  ru101    101   5.3241112E-10  8.4883323E-10  3.1642211E-10  2.0794544E-10  7.7521205E-11  4.2852890E-01
