# Minitial =  3.50 msun, Z = 0.0016, Mfinal = 0.844 msun, no c13 pocket
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
  xe131    131  -1.3229751E-11  9.1015262E-10  9.2338237E-10  3.4267791E-10  3.4768205E-10 -6.2961560E-03
  xe132    132   8.1165075E-12  9.4759289E-10  9.3947639E-10  3.5677442E-10  3.5374192E-10  3.7071563E-03
  xe133    133   4.7431150E-41  4.7431150E-41  0.0000000E+00  1.7858148E-41  0.0000000E+00  0.0000000E+00
  xe134    134   1.8061164E-11  4.4702997E-10  4.2896880E-10  1.6830946E-10  1.6152003E-10  1.7882150E-02
  cs133    133  -2.7374214E-12  3.1710573E-10  3.1984315E-10  1.1939222E-10  1.2043085E-10 -3.7617111E-03
  cs134    134   2.1757084E-21  2.1757084E-21  0.0000000E+00  8.1916725E-22  0.0000000E+00  0.0000000E+00
  cs135    135   1.2570058E-11  1.2570058E-11  0.0000000E+00  4.7327021E-12  0.0000000E+00  0.0000000E+00
  cs136    136   7.6100781E-38  7.6100781E-38  0.0000000E+00  2.8652400E-38  0.0000000E+00  0.0000000E+00
  cs137    137   4.7095540E-15  4.7095540E-15  0.0000000E+00  1.7731754E-15  0.0000000E+00  0.0000000E+00
  ba134    134   2.1900745E-12  6.9893327E-11  6.7703253E-11  2.6315257E-11  2.5492370E-11  1.3797400E-02
  ba135    135  -5.5015437E-12  3.0738700E-10  3.1288855E-10  1.1573306E-10  1.1781222E-10 -7.7329115E-03
  ba136    136   2.2900362E-11  2.1591148E-10  1.9301112E-10  8.1291973E-11  7.2674665E-11  4.8664637E-02
  ba137    137   6.7710393E-11  4.8878079E-10  4.2107040E-10  1.8402890E-10  1.5854604E-10  6.4730637E-02
  ba138    138   1.0302836E-10  1.7133606E-09  1.6103322E-09  6.4509054E-10  6.0633992E-10  2.6904507E-02
  la139    139   8.8497543E-12  2.5082272E-10  2.4197297E-10  9.4436264E-11  9.1110314E-11  1.5571245E-02
  ce140    140   1.8715196E-11  4.6280130E-10  4.4408610E-10  1.7424746E-10  1.6721216E-10  1.7898597E-02
  ce141    141   1.7207351E-36  1.7207351E-36  0.0000000E+00  6.4786709E-37  0.0000000E+00  0.0000000E+00
  ce142    142   2.1788404E-12  1.1860882E-10  1.1642998E-10  4.4656931E-11  4.3839488E-11  8.0233868E-03
  pr141    141   5.2716859E-13  1.1457930E-10  1.1405214E-10  4.3139797E-11  4.2944162E-11  1.9739717E-03
  nd142    142   2.7419664E-12  9.4234780E-11  9.1492813E-11  3.5479959E-11  3.4449877E-11  1.2795442E-02
  nd143    143  -5.0680987E-13  8.0783061E-11  8.1289871E-11  3.0415309E-11  3.0608151E-11 -2.7448544E-03
  nd144    144   5.1926519E-13  1.3994576E-10  1.3942650E-10  5.2690421E-11  5.2498391E-11  1.5856718E-03
  nd145    145  -5.5539601E-13  5.8332991E-11  5.8888387E-11  2.1962722E-11  2.2173300E-11 -4.1441731E-03
  nd146    146   9.9277531E-13  9.3872382E-11  9.2879607E-11  3.5343516E-11  3.4972050E-11  4.5886561E-03
  nd147    147   4.1668969E-39  4.1668969E-39  0.0000000E+00  1.5688615E-39  0.0000000E+00  0.0000000E+00
  nd148    148  -5.4926896E-13  4.7560511E-11  4.8109780E-11  1.7906818E-11  1.8114820E-11 -5.0156019E-03
  pm147    147  -1.8493438E-21 -1.8493438E-21  0.0000000E+00 -6.9628902E-22  0.0000000E+00  0.0000000E+00
  pm148    148   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  sm147    147  -3.3687983E-13  3.3405244E-11  3.3742124E-11  1.2577275E-11  1.2704954E-11 -4.3865568E-03
  sm148    148   3.9043074E-13  1.6353649E-11  1.5963219E-11  6.1572470E-12  6.0106460E-12  1.0465424E-02
  sm149    149  -5.6644273E-13  3.4480457E-11  3.5046899E-11  1.2982099E-11  1.3196243E-11 -7.1053933E-03
  sm150    150   4.1979441E-13  9.7865266E-12  9.3667322E-12  3.6846862E-12  3.5268646E-12  1.9011725E-02
  sm151    151   4.1098257E-17  4.1098257E-17  0.0000000E+00  1.5473740E-17  0.0000000E+00  0.0000000E+00
  sm152    152  -7.5146139E-13  6.4451715E-11  6.5203176E-11  2.4266457E-11  2.4551014E-11 -5.0630546E-03
  eu151    151  -8.0937687E-13  4.4409448E-11  4.5218825E-11  1.6720424E-11  1.7026287E-11 -7.8726728E-03
  eu152    152   2.1465571E-21  2.1465571E-21  0.0000000E+00  8.0819166E-22  0.0000000E+00  0.0000000E+00
  eu153    153  -9.6692793E-13  5.2697742E-11  5.3664670E-11  1.9841016E-11  2.0206409E-11 -7.9252366E-03
  eu154    154   8.9318591E-21  8.9318591E-21  0.0000000E+00  3.3628985E-21  0.0000000E+00  0.0000000E+00
  eu155    155  -2.6109139E-20 -2.6109139E-20  0.0000000E+00 -9.8302475E-21  0.0000000E+00  0.0000000E+00
  gd152    152  -8.4202664E-15  4.2302441E-13  4.3144467E-13  1.5927122E-13  1.6245227E-13 -8.5884752E-03
  gd153    153  -1.7781925E-32 -1.7781925E-32  0.0000000E+00 -6.6950016E-33  0.0000000E+00  0.0000000E+00
  gd154    154  -1.0286477E-14  3.9237671E-12  3.9340536E-12  1.4773218E-12  1.4812928E-12 -1.1658107E-03
  gd155    155  -8.3914820E-13  5.0208900E-11  5.1048048E-11  1.8903951E-11  1.9221170E-11 -7.2272136E-03
  gd156    156  -9.1485847E-13  6.6899153E-11  6.7814011E-11  2.5187933E-11  2.5534073E-11 -5.9275660E-03
  gd157    157  -8.8751576E-13  5.4167643E-11  5.5055158E-11  2.0394443E-11  2.0729972E-11 -7.0868437E-03
  gd158    158  -6.5440708E-13  7.6791212E-11  7.7445619E-11  2.8912352E-11  2.9160674E-11 -3.7141391E-03
  tb159    159  -1.1916995E-12  6.8631670E-11  6.9823369E-11  2.5840236E-11  2.6290659E-11 -7.5049824E-03
