#test case: AGB models
#description                       mass             Z   remnantmass
[evmodels]
5
m1.25_pmz2e-3                      1.20      1.60e-03          0.65
m2.5_pmz2e-3                       2.50      1.60e-03          0.68
m3.5_pmz1e-3                       3.50      1.60e-03          0.84
m5.0_nopmz                         5.00      1.60e-03          0.92
m6.5_nopmz                         6.50      1.60e-03          1.05

#species      type m1.25_pmz2e-3  m2.5_pmz2e-3  m3.5_pmz1e-3    m5.0_nopmz    m6.5_nopmz
[yields]
cd110     absolute  4.305044e-11  1.270530e-09  8.613360e-10  1.878528e-09  1.002789e-09
cd111     absolute  4.271044e-11  5.071900e-10  4.037559e-10  7.830238e-10  5.651694e-10
cd112     absolute  8.877619e-11  1.797771e-09  1.214305e-09  2.493525e-09  1.521189e-09
cd113     absolute  4.123532e-11  5.770976e-10  4.190847e-10  8.142835e-10  5.702105e-10
cd114     absolute  1.040688e-10  2.692984e-09  1.629655e-09  3.301027e-09  1.920312e-09
in115     absolute  3.768942e-11  5.710761e-10  3.865929e-10  7.325567e-10  5.136845e-10
sn116     absolute  1.197427e-10  3.915525e-09  2.150266e-09  4.203693e-09  2.341345e-09
sn117     absolute  5.880887e-11  1.212455e-09  7.242927e-10  1.353178e-09  8.809381e-10
sn118     absolute  1.952229e-10  5.978189e-09  3.233689e-09  5.844195e-09  3.440950e-09
sn119     absolute  5.771848e-11  1.737859e-09  9.360224e-10  1.644132e-09  9.790194e-10
sn120     absolute  2.887113e-10  9.901992e-09  5.342258e-09  8.357621e-09  4.858834e-09
sb121     absolute  3.921916e-11  7.596241e-10  4.610562e-10  7.064693e-10  5.040190e-10
te122     absolute  3.394696e-11  1.223790e-09  6.593903e-10  1.009227e-09  5.812039e-10
te123     absolute  1.237419e-11  4.489954e-10  2.409899e-10  3.643174e-10  2.086338e-10
te124     absolute  6.600118e-11  2.354746e-09  1.274550e-09  1.871244e-09  1.073027e-09
te125     absolute  7.663382e-11  9.473434e-10  6.628370e-10  9.650802e-10  8.262970e-10
te126     absolute  2.329885e-10  4.839163e-09  2.936819e-09  4.091429e-09  2.904803e-09
i127      absolute  1.904787e-10  1.097511e-09  1.077943e-09  1.552686e-09  1.759378e-09
xe128     absolute  3.907954e-11  1.443235e-09  7.853148e-10  1.055281e-09  6.323438e-10
xe129     absolute  2.751175e-10  1.313008e-09  1.431268e-09  2.062863e-09  2.481172e-09
xe130     absolute  7.631489e-11  2.929411e-09  1.584717e-09  2.019316e-09  1.176282e-09
xe131     absolute  2.322320e-10  1.712682e-09  1.490790e-09  2.068076e-09  2.200050e-09
xe132     absolute  3.351338e-10  6.564220e-09  4.065830e-09  4.980859e-09  3.734919e-09
xe133     absolute  0.000000e+00  0.000000e+00  2.037306e-40  6.925574e-31 -4.121253e-30
