#test case: FRUITY database models from Straniero et al. 2014 
#modelname                         mass             Z   remnantmass      lifetime
[stellarmodels]
7
A:m1p5z3m4                         1.50      3.00e-04         0.647  1.850000e+09
B:m2p0z3m4                         2.00      3.00e-04         0.669  8.460000e+08
C:m2p5z3m4                         2.50      3.00e-04         0.725  4.920000e+08
D:m3p0z3m4                         3.00      3.00e-04         0.823  3.020000e+08
E:m4p0z3m4                         4.00      3.00e-04         0.887  1.480000e+08
F:m5p0z3m4                         5.00      3.00e-04         0.955  8.930000e+07
G:m6p0z3m4                         6.00      3.00e-04         1.059  6.060000e+07

#species      type             A             B             C             D             E             F             G
[yields]
rb86      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
rb87      absolute  3.890700e-10  7.295700e-10  1.521800e-09  4.318100e-09  7.752300e-09  1.113400e-08  6.754000e-09
rb88      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
sr86      absolute  4.217700e-10  4.505400e-10  5.648900e-10  1.222000e-09  1.753900e-09  2.233600e-09  1.502700e-09
sr87      absolute  2.871500e-10  2.966100e-10  3.194000e-10  6.490200e-10  8.426300e-10  1.059000e-09  8.028700e-10
sr88      absolute  5.322600e-09  8.267900e-09  8.361600e-09  1.768000e-08  1.805800e-08  2.274600e-08  1.586500e-08
sr89      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
sr90      absolute  0.000000e+00  0.000000e+00  0.000000e+00  1.106800e-13  2.765600e-13  6.161000e-13  6.767300e-13
sr91      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
sr92      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
y89       absolute  1.274200e-09  2.223900e-09  2.390800e-09  5.090800e-09  4.744800e-09  5.784100e-09  3.981000e-09
y90       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
y91       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
y92       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
y93       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
zr90      absolute  1.318600e-09  2.137800e-09  2.221200e-09  4.593500e-09  4.022900e-09  4.692800e-09  3.468600e-09
zr91      absolute  3.624700e-10  6.390700e-10  6.610100e-10  1.394000e-09  1.194200e-09  1.387200e-09  9.602800e-10
